tconst	directors
tt0043228	nm0829038
tt0043228	nm0002179
tt0043228	nm0562388
tt0043228	nm0431395
tt0043228	nm0554169
tt0043228	nm0568228
tt0043228	nm0682734
tt0043228	nm0001537
tt0043228	nm0459627
tt0043228	nm0826873
tt0043228	nm0828594
tt0043228	nm0854358
tt0043228	nm0124877
tt0043228	nm0783116
tt0043228	nm0071657
tt0043228	nm0869664
tt0043228	nm0112939
tt0043228	nm0068691
tt0043228	nm0575546
tt0043228	nm0791027
tt0043228	nm0776838
tt0043228	nm0114436
tt0043228	nm0639529
tt0043228	nm0485647
tt0043228	nm0494903
tt0043228	nm0498614
tt0043228	nm0591142
tt0043228	nm0491852
tt0043228	nm0000071
tt0043228	nm0926636
tt0043228	nm0624809
tt0043228	nm0638528
tt0043228	nm0002134
tt0043228	nm0108571
tt0043228	nm0439776
tt0043228	nm0918659
tt0043228	nm0692872
tt0043228	nm0103975
tt0043228	nm0282984
tt0043228	nm0011727
tt0043228	nm0446053
tt0043265	nm0001379
tt0043278	nm0591486
tt0043338	nm0000697
tt0043426	nm0629999
tt0043631	nm0107960
tt0043693	nm0107960
tt0043710	nm0365882
tt0044081	nm0001415
tt0044093	nm0091430
tt0044243	nm1624439
tt0044284	nm0091575
tt0044284	nm0886757
tt0044284	nm0842582
tt0044284	nm0783551
tt0044284	nm0006916
tt0044284	nm0700842
tt0044284	nm0005817
tt0044284	nm0414991
tt0044284	nm0728509
tt0044284	nm9743256
tt0044284	nm0377434
tt0044284	nm0377433
tt0044284	nm0370749
tt0044284	nm0184150
tt0044284	nm0717261
tt0044284	nm0625680
tt0044284	nm0506589
tt0044284	nm9742961
tt0044284	nm7316150
tt0044284	nm9692107
tt0044284	nm0926012
tt0044284	nm0781751
tt0044284	nm0072328
tt0044284	nm0001811
tt0044284	nm0759806
tt0044284	nm9722633
tt0044284	nm0001486
tt0044284	nm0000989
tt0044284	nm0629999
tt0044284	nm0587332
tt0044284	nm0830654
tt0044284	nm0954219
tt0044284	nm0395105
tt0044284	nm0677951
tt0044284	nm0666777
tt0044284	nm0589228
tt0044284	nm0386619
tt0044284	nm1184818
tt0044284	nm0494886
tt0044284	nm2453477
tt0044284	nm0542720
tt0044284	nm0323287
tt0044284	nm0242409
tt0044284	nm0516093
tt0044284	nm0382026
tt0044284	nm0334353
tt0044284	nm0799033
tt0044284	nm0199756
tt0044284	nm0052300
tt0044284	nm0239291
tt0044284	nm0472708
tt0044284	nm0730265
tt0044284	nm0567170
tt0044284	nm0579781
tt0044284	nm7715327
tt0044284	nm0237848
tt0044284	nm0150706
tt0044284	nm0132763
tt0044284	nm7057798
tt0044284	nm0177034
tt0044284	nm0726823
tt0044284	nm9775211
tt0044284	nm0000037
tt0044284	nm0338719
tt0044284	nm0909678
tt0044284	nm9788485
tt0044284	nm0448508
tt0044284	nm0427775
tt0044284	nm2790357
tt0044706	nm0003593
tt0044901	nm0025504
tt0045152	nm0000037
tt0045152	nm0002045
tt0045519	nm0248157
tt0045793	nm0003593
tt0045943	nm0000581
tt0045960	nm0567170
tt0046135	nm0365882
tt0046150	nm0338719
tt0046250	nm0943758
tt0046303	nm0828419
tt0046359	nm0000697
tt0046587	nm0474539
tt0046587	nm0718467
tt0046587	nm0001239
tt0046587	nm0629999
tt0046587	nm0806915
tt0046587	nm0625680
tt0046587	nm0828720
tt0046587	nm0575546
tt0046587	nm0112939
tt0046587	nm0842867
tt0046587	nm0002137
tt0046587	nm0233071
tt0046587	nm0832254
tt0046587	nm0842582
tt0046587	nm0056582
tt0046587	nm0076971
tt0046587	nm0320637
tt0046587	nm0526946
tt0046593	nm0730860
tt0046593	nm0607558
tt0046593	nm0164203
tt0046593	nm0581303
tt0046593	nm0282984
tt0046593	nm0902270
tt0046593	nm0829038
tt0046593	nm0776317
tt0046593	nm0865709
tt0046593	nm0001175
tt0046593	nm0159007
tt0046593	nm0522028
tt0046593	nm0396421
tt0046593	nm0183857
tt0046593	nm0624809
tt0046593	nm0365346
tt0046593	nm8820958
tt0046593	nm0958677
tt0046593	nm0232902
tt0046593	nm0841416
tt0046593	nm0790281
tt0046593	nm0527217
tt0046593	nm0002155
tt0046593	nm0498711
tt0046593	nm0842093
tt0046593	nm0607612
tt0046593	nm0528032
tt0046593	nm0423236
tt0046593	nm0085457
tt0046593	nm0016386
tt0046593	nm0339264
tt0046593	nm0183307
tt0046593	nm0487047
tt0046593	nm0128434
tt0046593	nm0324013
tt0046593	nm0003422
tt0046593	nm0001904
tt0046593	nm0360286
tt0046593	nm0446834
tt0046593	nm0004305
tt0046593	nm0661577
tt0046593	nm0031246
tt0046593	nm0433143
tt0046593	nm0036206
tt0046593	nm0869427
tt0046593	nm0005738
tt0046593	nm1282261
tt0046593	nm0082300
tt0046593	nm0636495
tt0046593	nm0730265
tt0046593	nm0167195
tt0046593	nm0000739
tt0046593	nm0287931
tt0046593	nm0000977
tt0046593	nm0568546
tt0046593	nm0072178
tt0046593	nm0059106
tt0046593	nm0892144
tt0046593	nm0717470
tt0046593	nm0817636
tt0046593	nm0178114
tt0046593	nm0765121
tt0046593	nm0696662
tt0046593	nm0000484
tt0046593	nm0856715
tt0046593	nm0455741
tt0046593	nm0294094
tt0046593	nm0279379
tt0046593	nm0132763
tt0046593	nm0287988
tt0046593	nm0082676
tt0046593	nm0638528
tt0046593	nm0000127
tt0046593	nm0259589
tt0046593	nm0376033
tt0046593	nm0019282
tt0046593	nm0418986
tt0046593	nm0365192
tt0046593	nm0650561
tt0046593	nm0870533
tt0046593	nm0191592
tt0046593	nm0206560
tt0046593	nm0569710
tt0046593	nm0791027
tt0046593	nm0382548
tt0046593	nm1001982
tt0046593	nm0779641
tt0046593	nm0936823
tt0046593	nm0156047
tt0046593	nm0425540
tt0046593	nm0295550
tt0046593	nm0899957
tt0046593	nm0064407
tt0046593	nm0125111
tt0046593	nm0198991
tt0046593	nm0548529
tt0046593	nm0772422
tt0046593	nm0813583
tt0046593	nm0942687
tt0046593	nm0265564
tt0046593	nm0396812
tt0046593	nm0004877
tt0046593	nm0879210
tt0046593	nm0166551
