tconst	averageRating	numVotes
tt0058853	7.3	76
tt0058893	7.7	37
tt0058900	7.6	316
tt0058937	8.3	30
tt0059020	8	923
tt0059053	8.3	13
tt0059061	6.9	35
tt0059092	6.5	47
tt0059510	6.8	14
tt0059513	6.5	37
tt0059569	7.8	17
tt0059749	7.6	14687
tt0059751	7	20
tt0059752	8	67
tt0059753	7.7	5160
tt0059759	7	26
tt0059808	7.2	31
tt0059830	7.1	16
tt0059847	6.8	5
tt0059849	8.8	43
tt0059854	7	136
tt0059886	7.9	70
tt0059956	6.4	3380
tt0060028	8.3	72045
tt0060031	8.6	61
tt0060119	6.8	6
tt0060121	6.5	6210
tt0060180	6.9	7
tt0060208	6.3	9
tt0060255	7.6	8
tt0060282	7.3	27
tt0060284	7.1	9
tt0060292	7.5	11
tt0060331	7.8	10
tt0060367	8.8	6
tt0060384	7.5	227
tt0060463	6.5	4184
tt0060556	7.8	33
tt0060643	7.8	56
tt0060656	7.3	26
tt0060682	7	11
tt0060715	7.7	56
tt0060827	8.1	100458
tt0060953	7.3	6
tt0061025	7.2	27
tt0061027	7.8	4624
tt0061143	8.8	34
tt0061178	7.9	26
tt0061184	8	68257
tt0061185	8.9	14
tt0061312	6	9
tt0061348	6.2	8
tt0061422	6.7	18
tt0061552	7.4	408
tt0061554	6.7	6
tt0061721	8.4	18
tt0061915	7.6	8
tt0061940	8.1	40
tt0061967	9.1	12
tt0062074	7.9	7
tt0062095	7	8
tt0062280	7	5
tt0062423	8.6	37
tt0062568	7.3	5562
tt0062578	7.1	2130
tt0062599	8.5	25
tt0062622	8.3	593563
tt0062717	7.4	26
tt0062750	7.7	7
tt0062910	7	6
tt0063046	8	407
tt0063047	6.9	12
tt0063100	6.9	2000
tt0063227	7.9	28611
tt0063266	6.6	5
tt0063298	7.3	12
tt0063343	8.3	15
tt0063381	7.6	1046
tt0063442	8	163758
tt0063566	6.2	9
tt0063590	7	27
tt0063628	8.1	338
tt0063641	7.5	21
tt0063676	7.4	8
tt0063743	8.7	31
tt0063875	7.3	40
tt0063927	7	1312
tt0063928	7.1	595
tt0063955	7.9	428
tt0064116	8.5	298281
